,date,time,temperature,humidity
198,2021-02-09,06:00:00,27.0,83.68
199,2021-02-09,07:00:00,25.2,96.85
200,2021-02-09,08:00:00,27.0,84.57
201,2021-02-09,09:00:00,28.9,74.45
202,2021-02-09,10:00:00,28.9,78.89
203,2021-02-09,11:00:00,28.2,77.69
204,2021-02-09,12:00:00,30.1,65.84
205,2021-02-09,13:00:00,30.5,66.75
206,2021-02-09,14:00:00,28.6,68.07
207,2021-02-09,15:00:00,27.8,75.48
208,2021-02-09,16:00:00,28.7,67.87
209,2021-02-09,17:00:00,28.9,63.06
210,2021-02-09,18:00:00,28.0,74.29
211,2021-02-09,19:00:00,28.3,78.96
212,2021-02-09,20:00:00,27.1,78.37
213,2021-02-09,21:00:00,27.1,77.95
214,2021-02-09,22:00:00,26.2,86.05
215,2021-02-09,23:00:00,26.2,82.25
216,2021-02-10,00:00:00,26.0,79.06
217,2021-02-10,01:00:00,24.9,87.47
218,2021-02-10,02:00:00,24.9,84.35
219,2021-02-10,03:00:00,24.8,80.2
220,2021-02-10,04:00:00,24.0,84.87
221,2021-02-10,05:00:00,23.9,84.24
222,2021-02-10,06:00:00,23.9,83.78
223,2021-02-10,07:00:00,22.7,85.23
224,2021-02-10,08:00:00,23.9,79.2
225,2021-02-10,09:00:00,24.9,70.5
226,2021-02-10,10:00:00,28.0,66.18
227,2021-02-10,11:00:00,27.9,62.5
228,2021-02-10,12:00:00,29.0,55.44
229,2021-02-10,13:00:00,32.1,48.3
230,2021-02-10,14:00:00,30.9,49.4
231,2021-02-10,15:00:00,31.0,43.59
232,2021-02-10,16:00:00,33.1,48.43
233,2021-02-10,17:00:00,31.8,41.83
234,2021-02-10,18:00:00,29.9,46.39
235,2021-02-10,19:00:00,28.8,53.01
236,2021-02-10,20:00:00,27.8,56.74
237,2021-02-10,21:00:00,26.8,60.77
238,2021-02-10,22:00:00,26.8,68.14
239,2021-02-10,23:00:00,26.1,65.38
240,2021-02-11,00:00:00,26.0,68.86
241,2021-02-11,01:00:00,25.0,69.35
242,2021-02-11,02:00:00,24.0,73.62
243,2021-02-11,03:00:00,23.1,73.48
244,2021-02-11,04:00:00,23.0,74.19
245,2021-02-11,05:00:00,23.0,74.93
246,2021-02-11,06:00:00,22.0,83.57
247,2021-02-11,07:00:00,21.1,94.36
248,2021-02-11,08:00:00,23.1,77.46
249,2021-02-11,09:00:00,26.0,61.38
250,2021-02-11,10:00:00,27.1,56.76
251,2021-02-11,11:00:00,29.0,51.49
252,2021-02-11,12:00:00,31.0,48.39
253,2021-02-11,13:00:00,31.0,45.9
254,2021-02-11,14:00:00,31.8,39.73
255,2021-02-11,15:00:00,31.8,39.33
256,2021-02-11,16:00:00,32.8,34.87
257,2021-02-11,17:00:00,31.8,34.95
258,2021-02-11,18:00:00,31.0,38.7
259,2021-02-11,19:00:00,29.8,46.05
260,2021-02-11,20:00:00,28.8,48.79
261,2021-02-11,21:00:00,27.0,57.86
262,2021-02-11,22:00:00,27.1,56.76
263,2021-02-11,23:00:00,26.1,64.1
264,2021-02-12,00:00:00,25.1,63.88
265,2021-02-12,01:00:00,25.1,63.88
266,2021-02-12,02:00:00,24.1,63.67
267,2021-02-12,03:00:00,23.3,64.13
268,2021-02-12,04:00:00,23.0,68.96
269,2021-02-12,05:00:00,23.1,72.03
270,2021-02-12,06:00:00,23.1,71.32
271,2021-02-12,07:00:00,22.1,71.85
272,2021-02-12,08:00:00,24.0,64.27
273,2021-02-12,09:00:00,27.0,45.28
274,2021-02-12,10:00:00,28.1,44.68
275,2021-02-12,11:00:00,29.1,42.16
276,2021-02-12,12:00:00,30.1,42.0
277,2021-02-12,13:00:00,31.8,37.77
278,2021-02-12,14:00:00,32.0,37.82
279,2021-02-12,15:00:00,33.0,33.86
