date,time,temp,rh
13/1/2021,300,23,33
13/1/2021,400,23,33
13/1/2021,500,22,34
13/1/2021,600,22,34
13/1/2021,700,22,33
13/1/2021,800,23,32
13/1/2021,900,23,31
13/1/2021,1000,25,30
13/1/2021,1100,26,28
13/1/2021,1200,28,26
13/1/2021,1300,29,25
13/1/2021,1400,30,25
13/1/2021,1500,31,24
13/1/2021,1600,31,25
13/1/2021,1700,31,25
13/1/2021,1800,31,26
13/1/2021,1900,30,27
13/1/2021,2000,29,28
13/1/2021,2100,28,29
13/1/2021,2200,28,30
13/1/2021,2300,27,31
14/1/2021,0,27,32
14/1/2021,100,27,33
14/1/2021,200,26,34
14/1/2021,300,26,35
14/1/2021,400,26,37
14/1/2021,500,25,38
14/1/2021,600,25,39
14/1/2021,700,25,38
14/1/2021,800,26,37
14/1/2021,900,26,36
14/1/2021,1000,28,33
14/1/2021,1100,29,31
14/1/2021,1200,31,28
14/1/2021,1300,32,27
14/1/2021,1400,33,26
14/1/2021,1500,34,25
14/1/2021,1600,34,25
14/1/2021,1700,33,26
14/1/2021,1800,33,26
14/1/2021,1900,32,28
14/1/2021,2000,31,29
14/1/2021,2100,30,31
14/1/2021,2200,30,33
14/1/2021,2300,31,34
15/1/2021,0,31,36
15/1/2021,100,30,37
15/1/2021,200,29,38
15/1/2021,300,29,39
15/1/2021,400,28,40
15/1/2021,500,27,41
15/1/2021,600,27,42
15/1/2021,700,27,41
15/1/2021,800,28,41
15/1/2021,900,28,41
15/1/2021,1000,30,38
15/1/2021,1100,32,36
15/1/2021,1200,33,34
15/1/2021,1300,34,32
15/1/2021,1400,36,31
15/1/2021,1500,37,29
15/1/2021,1600,36,31
15/1/2021,1700,35,33
15/1/2021,1800,34,34
15/1/2021,1900,32,39
15/1/2021,2000,31,44
15/1/2021,2100,29,49
15/1/2021,2200,29,52
15/1/2021,2300,28,54
16/1/2021,0,28,57
16/1/2021,100,28,60
16/1/2021,200,27,63
16/1/2021,300,27,67
16/1/2021,400,27,68
16/1/2021,500,26,69
16/1/2021,600,26,71
16/1/2021,700,27,67
16/1/2021,800,27,64
16/1/2021,900,28,60
16/1/2021,1000,29,55
16/1/2021,1100,30,50
16/1/2021,1200,31,45
16/1/2021,1300,32,42
16/1/2021,1400,32,40
16/1/2021,1500,33,38
16/1/2021,1600,32,40
16/1/2021,1700,31,43
16/1/2021,1800,31,46
